TIME_PERIOD,    Gross domestic product 
1947,2036.2
1948,2120
1949,2108
1950,2291.1
1951,2475.4
1952,2576.7
1953,2697.5
1954,2681.9
1955,2873.2
1956,2934.4
1957,2996.2
1958,2974
1959,3180.2
1960,3262.1
1961,3345.7
1962,3550.7
1963,3705.3
1964,3918.8
1965,4173.4
1966,4448.7
1967,4570.7
1968,4795.4
1969,4945.2
1970,4954.4
1971,5117.6
1972,5386.7
1973,5690.9
1974,5660.1
1975,5648.5
1976,5952.8
1977,6228.1
1978,6572.8
1979,6780.9
1980,6763.5
1981,6935.2
1982,6810.1
1983,7122.3
1984,7637.7
1985,7956.2
1986,8231.7
1987,8516.4
1988,8872.2
1989,9198
1990,9371.5
1991,9361.3
1992,9691.1
1993,9957.7
1994,10358.9
1995,10637
1996,11038.3
1997,11529.2
1998,12045.8
1999,12623.4
2000,13138
2001,13263.4
2002,13488.4
2003,13865.5
2004,14399.7
2005,14901.3
2006,15315.9
2007,15623.9
2008,15643
2009,15236.3
2010,15649
2011,15891.5
2012,16254
2013,16553.3
2014,16932.1
2015,17390.3
2016,17680.3
2017,18079.1
2018,18606.8
2019,19032.7
2020,18384.7